MMS ID,Library,Location,Volume,Issue number,Year,Month,Barcode,Note
99169315803604107,gelman,grcmis,21,3,2009,Autumn,32882022256542,
99169315803604107,gelman,grcmis,21,4,2010,Winter,32882022256302,
99169315803604107,gelman,grcmis,22,1,2010,Spring,32882022256559,
99169315803604107,gelman,grcmis,22,2,2010,Summer,32882022256567,
99169315803604107,gelman,grcmis,22,3,2010,Autumn,32882022256575,
99169315803604107,gelman,grcmis,22,4,2011,Winter,32882022256310,
99169315803604107,gelman,grcmis,23,1,2011,Spring,32882022256328,
99169315803604107,gelman,grcmis,23,2,2011,Summer,32882022256583,
99169315803604107,gelman,grcmis,23,4,2012,Winter,32882022256336,
99169315803604107,gelman,grcmis,24,1,2012,Spring,32882022256054,
99169315803604107,gelman,grcmis,24,2,2012,Summer,32882022256062,
99169315803604107,gelman,grcmis,24,3,2012,Autumn,32882022256070,
99169315803604107,gelman,grcmis,24,4,2013,Winter,32882022256088,
99169315803604107,gelman,grcmis,25,1,2013,Spring,32882022255833,
99169315803604107,gelman,grcmis,25,2,2013,Summer,32882022255825,
99169315803604107,gelman,grcmis,25,3,2013,Autumn,32882022255817,
99169315803604107,gelman,grcmis,25,4,2014,Winter,32882022255809,
99169315803604107,gelman,grcmis,26,1,2014,Spring,32882022255791,
99169315803604107,gelman,grcmis,26,2,2014,Summer,32882022255783,
99169315803604107,gelman,grcmis,27,1,2015,Spring,32882022255775,
99169315803604107,gelman,grcmis,27,4,2016,Winter,32882022255767,
